model_size,n_epochs,dataset_percent,masked_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows
small,10,0.5,0.5,5,140.86412286758423,0.0007466849638149142,0.042642155259632455,0.0020727586847250875,0.02646018907384956,0.30770025506113025,0.003606464946642518,0.03236908705281432,0.0012059904456100307,0.018303975715057298,0.23394203127039062,"[17, 12, 10, 16, 8]"
small,10,0.5,0.5,10,252.53130555152893,0.0015896062832325697,0.041055663906178215,0.001927137599806486,0.025709713861908554,0.3036816433649123,0.0,0.023960867204519225,0.0006673066185602759,0.01162693841128188,0.17825922348953838,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.5,0.75,1,28.654484748840332,0.0007572403410449624,0.037025022241534276,0.0015477105825212477,0.023379494234966772,0.28557706966814755,0.001091018901206553,0.03724208466367088,0.0015644854399549856,0.023492366289538727,0.2878691229749177,[17]
small,10,0.5,0.75,5,141.29319143295288,0.0014079161919653416,0.03746184524406711,0.0015780587870920237,0.02362919158581205,0.2877108949393267,0.0007538992795161903,0.028672500044211832,0.000893300550383764,0.016099733498198526,0.22004520191427945,"[17, 12, 10, 16, 8]"
small,10,0.5,0.75,10,251.79116344451904,0.002294957172125578,0.037526770438876034,0.0015805480127312629,0.023672330397497512,0.2879547326657692,0.0,0.0215163590412908,0.0005124029255239077,0.011285067511916335,0.18010505015271894,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.25,0.25,1,28.702415466308594,0.0005176454433239996,0.06772251294032589,0.005050932686362978,0.039865533305469714,0.3166194536889477,0.0015695763286203146,0.06632882039084532,0.004878465796156269,0.039391515630446725,0.31829269809956995,[17]
small,20,0.25,0.25,5,141.0723807811737,0.0017818417400121689,0.06603831115685531,0.004828878897593557,0.0384762860811169,0.31019234229934656,0.0006624821689911187,0.04948817400324378,0.0028921691575837286,0.025506834046055492,0.21769921250677945,"[17, 12, 10, 16, 8]"
small,20,0.25,0.25,10,252.27874946594238,0.000878799008205533,0.06575363721991456,0.004742264415919644,0.0384950716567955,0.30935834530837075,0.0,0.027844075619035725,0.0009807897793612992,0.011437744306044337,0.11860107810677108,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.25,0.5,1,28.57071352005005,0.0006454737158492208,0.05486836027754295,0.0034054581050256454,0.03247817677358581,0.27600923183258963,0.0009287853608839214,0.05418769192289343,0.0033371476469043985,0.031851120251406614,0.27135817060665784,[17]
small,20,0.25,0.5,5,141.47483491897583,0.001273979665711522,0.05501302154385941,0.003448914968559817,0.032342695536270574,0.2717533175743728,0.001112363999709487,0.045523239294083695,0.0023829580712205153,0.02459724837090247,0.2155155522968698,"[17, 12, 10, 16, 8]"
small,20,0.25,0.5,10,252.44101119041443,0.0012957713333889842,0.05449052191269377,0.003328056910351633,0.03194781912325255,0.271151111162391,0.0,0.029417429670181246,0.0009751354384643622,0.01447652389339733,0.15426407780225107,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.25,0.75,1,28.930909633636475,0.00030766319832764566,0.04938934202899602,0.0027295567925876727,0.029277047696091386,0.25525954275296703,0.001030340208671987,0.049550860754041956,0.002749455723027477,0.02931763130604764,0.2547271547781659,[17]
small,20,0.25,0.75,5,140.51041746139526,0.001704725087620318,0.0486575396770175,0.002704029958104371,0.02903171392771234,0.2528841216976025,0.0007240353152155876,0.03799572453415531,0.0015914106761740763,0.020839275444965236,0.1925998263937335,"[17, 12, 10, 16, 8]"
small,20,0.25,0.75,10,252.97445487976074,0.0013814104022458196,0.048898548823306104,0.0027037397537523046,0.0293192904596854,0.25560272723989674,0.0,0.027991458792461607,0.0008733778797726005,0.01469392375523656,0.15122041280316667,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.5,0.25,1,57.742186546325684,0.0042722271755337715,0.05290745263457771,0.003109296730904581,0.03279097969555911,0.35801514813176005,0.0001936454209499061,0.05126620319689904,0.002908184845753448,0.03231005081006343,0.3602523340277605,[17]
small,20,0.5,0.25,5,283.2426543235779,0.0020016708876937628,0.049471398682059825,0.0026810636738173717,0.03039853237316733,0.3480023569578493,0.0,0.03581227310342043,0.0015175093453377517,0.019423717712824688,0.24207459276857457,"[17, 12, 10, 16, 8]"
small,20,0.5,0.25,10,504.7585587501526,0.0017948687309399247,0.05062318684896732,0.002843931310314455,0.03134792324546549,0.353149639870291,0.0,0.020648528914360552,0.0004947102011140179,0.009036300256038403,0.13185447459773186,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.5,0.5,1,57.41384172439575,0.0020509851165115833,0.04179289876687558,0.0019855635357973254,0.026365711877313618,0.3123653166359871,0.0017050678143277764,0.04305709384367921,0.0021054086900674017,0.026328658622212897,0.3051429097819579,[17]
small,20,0.5,0.5,5,280.8865134716034,0.0023362310603260994,0.04089101821913002,0.0019089201268414615,0.025579931125492915,0.3029636217442586,0.00164462486281991,0.03190576782993458,0.0011718722059694423,0.018281328491061875,0.23775316049460987,"[17, 12, 10, 16, 8]"
small,20,0.5,0.5,10,510.3830873966217,0.0012751909671351314,0.04134801705527215,0.0019371792883087341,0.025619606445444625,0.30394973262061264,0.0,0.02136383245312607,0.0005173974872758942,0.011233906453697078,0.1823630352731583,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,20,0.5,0.75,1,60.441142559051514,0.000946143118198961,0.03688929267452765,0.0015465723175641126,0.023304414359373832,0.28593910275807444,0.0005198512226343155,0.037309677945177484,0.0015646498192816933,0.023551689475013675,0.2873244471224722,[17]
small,20,0.5,0.75,5,289.14408707618713,0.0014289903920143843,0.03739709141274924,0.001587552557054579,0.023425771873900096,0.28456319481872516,0.00042995502008125186,0.02924330874603917,0.0009393275425440115,0.016607702689348344,0.22249720257188776,"[17, 12, 10, 16, 8]"
small,20,0.5,0.75,10,508.38935446739197,0.001119917957112193,0.03733905984479448,0.001563960231983204,0.023616804503275628,0.2877096002319095,0.0,0.022454905104313937,0.0005428176282956267,0.011474549582451516,0.1844804531562218,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
