model_size,n_epochs,dataset_percent,masked_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows
small,1,0.5,0.5,1,2.451720952987671,0.0026425251271575,0.0472225374258635,0.0024294487133358,0.0287390956067576,0.3323465360589921,0.0086402464658021,0.0465111482631782,0.0023330365970284,0.0286608475020467,0.3327383038151235,[17]
small,1,0.5,0.5,5,12.007322788238524,0.0010470033157616,0.0465841900177573,0.00237035134951,0.0283087690191712,0.3293867840929061,0.000280544074485,0.0348969298216133,0.0013585085347205,0.0197350797962294,0.254242980695905,"[17, 12, 10, 16, 8]"
small,1,0.5,0.5,10,21.81772089004517,0.0022895820438861,0.0467181926843409,0.0023721418802117,0.0288275275283321,0.3341489855748704,0.0,0.0246523597431192,0.0006725372309075,0.0115499250935263,0.1692048930728965,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.5,0.75,1,2.430952787399292,0.0018289439612999,0.0442664848191539,0.0020425563259015,0.0270235763834174,0.3223399543870981,0.000794177991338,0.0439945862033601,0.0020234604914942,0.0267276966000933,0.3185721824591831,[17]
small,1,0.5,0.75,5,12.081126689910889,0.001919642323628,0.0444363489382656,0.0020609811547455,0.026979862825856,0.3192973480798732,0.0005247850203886,0.0323336739205163,0.0011260421832655,0.0184658497053172,0.2466060442327585,"[17, 12, 10, 16, 8]"
small,1,0.5,0.75,10,21.83525323867798,0.0010832999832928,0.0445554021119554,0.0020759495246683,0.0272218088994466,0.3226767384056215,0.0,0.0213853910233439,0.0004939320961249,0.0112873760815369,0.1768511485132901,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.75,0.0,1,3.4728870391845703,0.0041060950607061,0.037161431714186,0.0015186392119147,0.0239933839096371,0.4496184764280058,0.0085928151383996,0.035894345314516,0.0014240926652029,0.0232019646088856,0.439077101255099,[17]
small,1,0.75,0.0,5,17.42543339729309,0.0052633532322943,0.0373467297738236,0.0015434791549407,0.0239733328113666,0.4484326290344608,0.0,0.0259631572609788,0.0007614096132967,0.0148960966627549,0.3304467376680801,"[17, 12, 10, 16, 8]"
small,1,0.75,0.0,10,31.69826054573059,0.0043092826381325,0.0361994078526198,0.0014295788374908,0.0230716409475788,0.4372843926647476,0.0,0.0163253450684726,0.0002902769715839,0.0075414374875504,0.2003786006597877,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.75,0.25,1,3.4539225101470947,0.0028274105861783,0.038907457865457,0.0016340011377181,0.0247777405487074,0.4590218195051143,0.0037088613025844,0.0375201255762926,0.0015533045301452,0.0241352100653424,0.4493495747492685,[17]
small,1,0.75,0.25,5,17.46682906150818,0.0040274551138281,0.0388235532961736,0.0016343966796245,0.0244884436504194,0.453935704640624,0.0003344370634295,0.0275266436875823,0.0008873598847493,0.0150549469532769,0.3205561672431017,"[17, 12, 10, 16, 8]"
small,1,0.75,0.25,10,31.618600130081177,0.0048424368724226,0.0374600336130575,0.001555580615741,0.0241626306933368,0.446972439727779,0.0,0.0113615930843502,0.0001630233601456,0.0055694929675968,0.1763011830728347,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.75,0.5,1,3.455371141433716,0.001739363418892,0.0334732916060279,0.0012223074652658,0.0214580130123067,0.4207802904036417,0.0051101725548505,0.0336745115660218,0.0012132396289619,0.02188816176231,0.4267067283303049,[17]
small,1,0.75,0.5,5,17.513352870941162,0.0035005642566829,0.034130388573944,0.0012697484311025,0.0218058110430028,0.4253238151726682,0.0046649975702166,0.0247554989325045,0.0006918858878815,0.014765059279594,0.334489693963353,"[17, 12, 10, 16, 8]"
small,1,0.75,0.5,10,31.969194412231445,0.0046640699729323,0.0340078283206209,0.0012649890578424,0.0217484892554633,0.4237758487082557,0.0,0.0153362284633446,0.000264439619562,0.007859482585758,0.2379102999988013,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,0.75,0.75,1,3.487267017364502,0.0009870930807664,0.03185830295808,0.0010638098161727,0.0202185644840663,0.4059027613382729,0.0048563024029135,0.0321611232968279,0.0010897169028604,0.0206714152563846,0.411967758245676,[17]
small,1,0.75,0.75,5,17.42434072494507,0.0043492140248417,0.0320581550375972,0.0010803390761888,0.0204772952156589,0.4114134703081207,0.0027313546743243,0.0237614912672387,0.0005975149371346,0.014235140491969,0.3272965584019843,"[17, 12, 10, 16, 8]"
small,1,0.75,0.75,10,31.84251976013184,0.0050402106717228,0.03211044385668,0.0010791059253241,0.0205126350607178,0.4107123268652635,0.0,0.015160708764367,0.0002514667478909,0.0086120751908641,0.2504936772055576,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,1,1.0,0.0,1,4.671753168106079,0.0066066156141459,0.0274500825586404,0.0008095856322838,0.0179316574673387,0.4319488894888049,0.0082309367135167,0.0324207230953762,0.0010977596364893,0.019651769828873,0.4471920803721149,[17]
small,1,1.0,0.0,5,23.05704689025879,0.0053250999189913,0.0282761609897643,0.0008586805387403,0.0179539672831785,0.433576013442524,0.00026801545755,0.0194998718319566,0.0004401399586098,0.0114166158687687,0.3332687123878304,"[17, 12, 10, 16, 8]"
