model_size,n_epochs,dataset_percent,masked_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows,best_epochs,train_losses,eval_pre,eval_post
small,1,1.0,0.5,1,5.690989255905151,,,,,,,,,,,[12],[0],[0.1083689437532724],"{'mse': 0.053707004138695856, 'rmse': 0.0029336255165605435, 'mae': 0.02929921164502238, 'smape': 0.23152980452908717, 'loss': 0.0027002235292457044}","{'mse': [0.2704616213562294], 'rmse': [0.086882399813903], 'mae': [0.16939142320662476], 'smape': [0.8547300537448677], 'loss': [0.07994943174223106]}"
small,1,1.0,0.5,5,28.47687339782715,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.11044357131399202],"{'mse': 0.05795466199597439, 'rmse': 0.003527727151253153, 'mae': 0.03162483935123489, 'smape': 0.21432764429942203, 'loss': 0.003239592614894112}","{'mse': [0.1353270836848618, 0.32470708926279856, 0.20724141014242875, 0.16039138455558027, 0.2027889296352215], 'rmse': [0.024722965382562877, 0.17179676349018555, 0.06419428812535327, 0.029653841320514376, 0.05464379400240102], 'mae': [0.07864287592103489, 0.1765016551810102, 0.12681512245475207, 0.09369582369606633, 0.12219741282547147], 'smape': [0.46571535001136377, 0.7081627884921906, 0.7586553699468441, 0.5992426115816958, 0.8018543500889569], 'loss': [0.022493063963742718, 0.15961832351361713, 0.06089862570580509, 0.029653841047547758, 0.05464379407931119]}"
small,1,1.0,0.75,1,5.752330780029297,,,,,,,,,,,[12],[0],[0.12912662644329861],"{'mse': 0.050662933390961715, 'rmse': 0.002622312760647122, 'mae': 0.029404244656844224, 'smape': 0.21737557111763692, 'loss': 0.002531472373650306}","{'mse': [0.13003077444516972], 'rmse': [0.01800252719135991], 'mae': [0.0820687469672556], 'smape': [0.5172795553316852], 'loss': [0.017511358122444816]}"
small,1,1.0,0.75,5,28.437658071517944,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.07171631063312434],"{'mse': 0.057646670514595474, 'rmse': 0.003383423816410786, 'mae': 0.029710714338132393, 'smape': 0.17789996470285735, 'loss': 0.0030778672161330986}","{'mse': [0.2126456274348835, 0.21582804655852675, 0.11832945972332322, 0.22039359875378686, 0.20270273760408225], 'rmse': [0.04943379043528806, 0.05346533691144625, 0.019900705510669737, 0.059726097330749, 0.054125209488938744], 'mae': [0.11124911721562966, 0.10543207539684282, 0.06536758766449129, 0.1266033255851653, 0.11162733513219791], 'smape': [0.6116218055785982, 0.557765355542212, 0.41529398011130614, 0.7372433113417747, 0.5668641912884098], 'loss': [0.0450644674193528, 0.04935341925981144, 0.018013417261600908, 0.059726099483668804, 0.05412520971731283]}"
small,5,0.25,0.25,1,7.47254490852356,,,,,,,,,,,[12],[0],"[0.12899309026543052, 0.3328037148807198, 0.8198731805197894, 0.3885656163096428, 0.22907625511288643]","{'mse': 0.06797143037627955, 'rmse': 0.0048526635087273165, 'mae': 0.03843912271225045, 'smape': 0.22171467354379898, 'loss': 0.0044458810007199645}","{'mse': [0.4942938802269209], 'rmse': [0.2845333849389002], 'mae': [0.2227822111210201], 'smape': [0.7270223087347153], 'loss': [0.25715036948935854]}"
small,5,0.25,0.25,5,37.621434450149536,,,,,,,,,,,"[8, 10, 12, 16, 17]","[3, 0, 3, 0, 4]","[0.3343160214659292, 0.4123592356219888, 0.314594307821244, 0.0877322681248188, 0.10740780998021364]","{'mse': 0.049902630430865014, 'rmse': 0.0027415519480661395, 'mae': 0.025345214787655723, 'smape': 0.16449935168053667, 'loss': 0.0025025359290238055}","{'mse': [0.14023543302699434, 0.10175133264329318, 0.0761984634220626, 0.3468018214629913, 0.20406341350749257], 'rmse': [0.0258290109427522, 0.0263152667940634, 0.00708223583506345, 0.16621417169361719, 0.04710300574560025], 'mae': [0.07683375070068556, 0.060651120943769524, 0.041360809376586025, 0.21534931502310428, 0.12474827623964302], 'smape': [0.4579631439877916, 0.36717409809149215, 0.2544593270496711, 1.049377321317666, 0.7213336560545625], 'loss': [0.023569923631536465, 0.025005266561897263, 0.006740261866879236, 0.16621416760608554, 0.047103005985263735]}"
small,5,0.25,0.5,1,7.475360870361328,,,,,,,,,,,[12],[1],"[0.20368449648376555, 0.10720079406164587, 0.14449738711118698, 0.20249181240797043, 0.19406220577657224]","{'mse': 0.061162551204517496, 'rmse': 0.0038318762452570097, 'mae': 0.03327755091076558, 'smape': 0.24008532934238314, 'loss': 0.003533510685277482}","{'mse': [0.13339866773134895], 'rmse': [0.019829996785435525], 'mae': [0.0770064640985152], 'smape': [0.6513867297549869], 'loss': [0.018095560203720298]}"
small,5,0.25,0.5,5,37.077757596969604,,,,,,,,,,,"[8, 10, 12, 16, 17]","[4, 0, 1, 0, 2]","[0.20023344736546278, 0.21047685593366622, 0.2807389857713133, 0.2975733567029238, 0.1142081443220377]","{'mse': 0.05783372107317779, 'rmse': 0.0035425996454991346, 'mae': 0.030450028683452937, 'smape': 0.21264240158423703, 'loss': 0.0032970409956760705}","{'mse': [0.25345530844696307, 0.19244060938869503, 0.21344214748625417, 0.10891585847306126, 0.10929397535049806], 'rmse': [0.07955284425800324, 0.04467429545521069, 0.08462781782274059, 0.016527506414479705, 0.013166053856074297], 'mae': [0.14552772721150317, 0.11063041738503111, 0.12876431981025827, 0.0640772515421304, 0.06384798985368434], 'smape': [0.7166607735012172, 0.7511235085762628, 0.7633254213029623, 0.5087206621120082, 0.4411380115934721], 'loss': [0.07314256268242995, 0.04155664218382703, 0.07711840922840768, 0.016527506959391758, 0.013166054297471419]}"
small,5,0.25,0.75,1,7.364553689956665,,,,,,,,,,,[12],[1],"[0.21260579434456303, 0.06444427995011211, 0.14686202686280012, 0.1335728570818901, 0.10518205352127552]","{'mse': 0.05781868002913651, 'rmse': 0.0034238348265956506, 'mae': 0.03111472005040796, 'smape': 0.2214596375078236, 'loss': 0.003166574772977684}","{'mse': [0.14931919489323756], 'rmse': [0.026550656960482668], 'mae': [0.08276276973115873], 'smape': [0.4648656042619743], 'loss': [0.023865158035833802]}"
small,5,0.25,0.75,5,37.23453879356384,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 1, 1, 0, 0]","[0.04740591037843842, 0.10199600826017559, 0.3872242011129856, 0.30899165868759154, 0.1270175187382847]","{'mse': 0.0599962670847876, 'rmse': 0.003654521910388558, 'mae': 0.031153658477482027, 'smape': 0.21432947103695443, 'loss': 0.003397461104517182}","{'mse': [0.21189810145258903, 0.1533676074922886, 0.0976466367325135, 0.13458271322628027, 0.1951451005009828], 'rmse': [0.06235014881144995, 0.02588208106972229, 0.014072272688288145, 0.019409325130001973, 0.04218083432724481], 'mae': [0.12209083302250992, 0.08333651660225139, 0.05110987521348838, 0.07698532704455374, 0.10585841505417193], 'smape': [0.5251025835682334, 0.46956116654642804, 0.3018615860664187, 0.5209706234478365, 0.6652330200102983], 'loss': [0.0572375256775154, 0.023538227930354576, 0.012728366716247465, 0.019409325723245274, 0.04218083783052862]}"
small,5,0.5,0.25,1,14.921032905578613,,,,,,,,,,,[12],[0],"[0.14125007057737093, 0.2338525526225567, 0.3305629183538258, 0.17193228006362915, 0.23278252724558116]","{'mse': 0.06352341447607857, 'rmse': 0.004124142737382794, 'mae': 0.03685168747956208, 'smape': 0.23214893195026426, 'loss': 0.0037617113686994547}","{'mse': [0.27783089627555646], 'rmse': [0.09235754573221108], 'mae': [0.18170736709342505], 'smape': [0.7712566499575673], 'loss': [0.08359171346657807]}"
