,DATE,LEVEL,PRESS,RAIN,TEMP,WDIR,WSPEED
66,2020-01-03 18:00:00,0.0,1027.0,0.0,5.1,310.0,2.1
67,2020-01-03 19:00:00,0.0,1026.9,0.0,5.5,290.0,3.1
68,2020-01-03 20:00:00,-1.0,1026.4,0.0,5.5,298.0,2.9
69,2020-01-03 21:00:00,3.0,1026.2,0.0,5.9,260.0,2.3
70,2020-01-03 22:00:00,11.0,1026.0,0.0,6.3,272.0,2.1
71,2020-01-03 23:00:00,18.0,1026.0,0.0,6.5,293.0,1.3
72,2020-01-04 00:00:00,27.0,1025.8,0.0,6.9,281.0,1.4
73,2020-01-04 01:00:00,37.0,1025.2,0.0,7.0,252.0,0.7
74,2020-01-04 02:00:00,46.0,1025.1,0.0,6.9,334.0,1.1
75,2020-01-04 03:00:00,52.0,1025.2,0.0,6.7,190.0,1.4
76,2020-01-04 04:00:00,56.0,1025.0,0.0,6.2,243.0,2.2
77,2020-01-04 05:00:00,60.0,1025.3,0.0,6.3,317.0,4.1
78,2020-01-04 06:00:00,57.0,1025.0,0.0,5.4,336.0,3.3
79,2020-01-04 07:00:00,49.0,1025.4,0.0,5.0,324.0,2.2
80,2020-01-04 08:00:00,40.0,1025.3,0.0,4.7,296.0,1.1
81,2020-01-04 09:00:00,25.0,1026.0,0.0,5.0,303.0,5.0
82,2020-01-04 10:00:00,16.0,1026.3,0.0,5.8,305.0,3.4
83,2020-01-04 11:00:00,5.0,1026.1,0.0,6.3,304.0,3.2
84,2020-01-04 12:00:00,-3.0,1025.4,0.0,7.1,308.0,3.4
85,2020-01-04 13:00:00,-7.0,1024.5,0.0,7.2,284.0,4.7
86,2020-01-04 14:00:00,-8.0,1023.8,0.0,8.2,261.0,2.4
87,2020-01-04 15:00:00,-5.0,1023.2,0.0,9.0,231.0,4.3
88,2020-01-04 16:00:00,2.0,1022.6,0.0,8.4,227.0,5.0
89,2020-01-04 17:00:00,9.0,1022.6,0.0,8.6,236.0,4.9
90,2020-01-04 18:00:00,13.0,1022.3,0.0,8.7,229.0,4.6
91,2020-01-04 19:00:00,17.0,1022.4,0.0,8.5,236.0,4.6
92,2020-01-04 20:00:00,17.0,1022.3,0.0,8.4,251.0,1.5
93,2020-01-04 21:00:00,19.0,1022.0,0.0,7.7,236.0,3.4
94,2020-01-04 22:00:00,20.0,1023.0,0.0,8.3,42.0,5.3
95,2020-01-04 23:00:00,22.0,1023.6,0.0,8.0,59.0,4.2
96,2020-01-05 00:00:00,27.0,1023.7,0.0,8.1,322.0,1.4
97,2020-01-05 01:00:00,33.0,1023.8,0.0,6.9,334.0,2.9
98,2020-01-05 02:00:00,39.0,1024.4,0.0,7.8,319.0,3.6
99,2020-01-05 03:00:00,48.0,1024.7,0.0,7.2,324.0,2.8
100,2020-01-05 04:00:00,55.0,1024.9,0.0,8.6,55.0,3.6
101,2020-01-05 05:00:00,61.0,1025.4,0.0,8.8,10.0,0.9
102,2020-01-05 06:00:00,60.0,1026.1,0.0,7.2,281.0,5.2
103,2020-01-05 07:00:00,58.0,1026.8,0.0,8.0,305.0,2.9
104,2020-01-05 08:00:00,46.0,1027.8,0.0,7.7,15.0,2.0
105,2020-01-05 09:00:00,31.0,1028.8,0.0,8.4,15.0,2.2
106,2020-01-05 10:00:00,15.0,1029.2,0.0,9.2,260.0,1.4
107,2020-01-05 11:00:00,-1.0,1029.7,0.0,10.4,322.0,0.4
108,2020-01-05 12:00:00,-8.0,1029.8,0.0,8.4,92.0,4.6
109,2020-01-05 13:00:00,-17.0,1029.6,0.0,9.7,118.0,3.4
110,2020-01-05 14:00:00,-14.0,1029.7,0.0,10.3,168.0,3.7
111,2020-01-05 15:00:00,-9.0,1030.3,0.0,9.6,161.0,6.7
112,2020-01-05 16:00:00,-6.0,1030.9,0.0,9.5,161.0,7.1
113,2020-01-05 17:00:00,3.0,1031.6,0.0,9.3,160.0,6.7
114,2020-01-05 18:00:00,9.0,1032.0,0.0,9.5,156.0,7.0
115,2020-01-05 19:00:00,10.0,1032.4,0.0,9.3,157.0,5.7
116,2020-01-05 20:00:00,12.0,1033.0,0.0,9.4,157.0,3.8
117,2020-01-05 21:00:00,9.0,1033.7,0.0,9.9,160.0,2.5
118,2020-01-05 22:00:00,2.0,1034.0,0.0,8.2,346.0,4.3
119,2020-01-05 23:00:00,1.0,1034.4,0.0,7.8,26.0,3.9
120,2020-01-06 00:00:00,1.0,1033.9,0.0,8.2,13.0,3.7
121,2020-01-06 01:00:00,7.0,1033.9,0.0,8.3,26.0,3.5
122,2020-01-06 02:00:00,18.0,1033.9,0.0,8.4,47.0,3.4
123,2020-01-06 03:00:00,27.0,1034.0,0.0,8.8,59.0,2.7
124,2020-01-06 04:00:00,38.0,1033.7,0.0,8.7,69.0,2.1
125,2020-01-06 05:00:00,44.0,1033.5,0.0,8.1,200.0,3.1
126,2020-01-06 06:00:00,49.0,1033.6,0.0,7.7,185.0,4.1
127,2020-01-06 07:00:00,47.0,1033.9,0.0,7.7,205.0,2.7
128,2020-01-06 08:00:00,40.0,1034.2,0.0,6.6,320.0,2.5
129,2020-01-06 09:00:00,27.0,1034.4,0.0,7.1,236.0,1.9
130,2020-01-06 10:00:00,11.0,1034.6,0.0,7.3,207.0,2.7
131,2020-01-06 11:00:00,-4.0,1034.7,0.0,6.4,276.0,2.5
132,2020-01-06 12:00:00,-18.0,1034.0,0.0,7.2,346.0,2.6
133,2020-01-06 13:00:00,-27.0,1033.1,0.0,7.5,332.0,2.5
134,2020-01-06 14:00:00,-28.0,1032.6,0.0,7.3,324.0,2.0
135,2020-01-06 15:00:00,-27.0,1032.2,0.0,7.7,336.0,0.8
136,2020-01-06 16:00:00,-20.0,1031.9,0.0,8.6,13.0,0.2
137,2020-01-06 17:00:00,-7.0,1031.8,0.0,6.5,123.0,0.3
138,2020-01-06 18:00:00,6.0,1031.4,0.0,6.3,78.0,0.4
139,2020-01-06 19:00:00,14.0,1031.2,0.0,6.4,115.0,0.3
140,2020-01-06 20:00:00,19.0,1030.9,0.0,6.1,206.0,0.3
141,2020-01-06 21:00:00,18.0,1030.8,0.0,5.9,248.0,0.4
142,2020-01-06 22:00:00,15.0,1030.5,0.0,5.7,282.0,1.8
143,2020-01-06 23:00:00,9.0,1030.4,0.0,5.7,278.0,1.8
144,2020-01-07 00:00:00,4.0,1030.1,0.0,5.7,293.0,2.0
145,2020-01-07 01:00:00,5.0,1029.6,0.0,5.0,329.0,1.8
146,2020-01-07 02:00:00,10.0,1029.5,0.0,5.0,335.0,2.2
147,2020-01-07 03:00:00,20.0,1029.3,0.0,4.6,337.0,2.5
148,2020-01-07 04:00:00,33.0,1028.6,0.0,4.3,341.0,2.8
149,2020-01-07 05:00:00,46.0,1028.2,0.0,4.6,357.0,1.6
150,2020-01-07 06:00:00,55.0,1027.8,0.0,4.4,315.0,1.4
151,2020-01-07 07:00:00,58.0,1027.5,0.0,4.0,180.0,0.9
152,2020-01-07 08:00:00,55.0,1028.0,0.0,1.8,239.0,4.2
